time,battery,altitude,pressure,magX,magY,magZ,rotX,rotY,rotZ,ax,ay,az,vx,vy,vz,motor1,motor2,motor3,motor4,lat,lng,elevation,nbsat
1631795335.37955,73,83,99809,357.09375,137.8125,-14.203125,-4353.0,-1181.0,-10476.0,20.638248443603516,155.14625549316406,-1164.848876953125,-52.08885192871094,-77.5277099609375,0.0,255,190,217,221,0.0,0.0,0.0,0
1631795335.482702,73,213,99788,326.19140625,120.5859375,-17.75390625,-3878.0,226.0,-7851.0,-11.855827331542969,141.05055236816406,-1140.8858642578125,-174.8730010986328,-174.311767578125,0.0,255,189,240,246,0.0,0.0,0.0,0
1631795335.611131,73,313,99796,343.359375,96.46875,-35.5078125,-3660.0,156.0,-6067.0,32.56900405883789,266.5245361328125,-1157.894287109375,-82.85733795166016,-125.10652160644531,0.0,255,209,243,227,0.0,0.0,0.0,0
1631795335.706313,73,260,99796,346.79296875,86.1328125,-24.85546875,-3412.0,2377.0,-433.0,14.95461654663086,249.59027099609375,-1124.0777587890625,52.6301155090332,-128.98101806640625,0.0,255,204,248,238,0.0,0.0,0.0,0
1631795335.829039,73,312,99803,339.92578125,65.4609375,-31.95703125,-1521.0,2360.0,4832.0,-0.6152257919311523,136.2182159423828,-1158.478271484375,-261.1044616699219,-269.69256591796875,0.0,255,197,249,246,0.0,0.0,0.0,0
1631795336.087393,73,413,99790,329.625,34.453125,-28.40625,332.0,-150.0,11875.0,6.436905860900879,94.00961303710938,-1123.2135009765625,-252.6458740234375,-204.6559600830078,0.0,255,201,242,235,0.0,0.0,0.0,0
1631795336.277458,73,471,99790,326.19140625,-10.3359375,-46.16015625,492.0,-879.0,15361.0,-12.054924011230469,152.7178955078125,-1097.8846435546875,-247.38072204589844,-173.7716064453125,0.0,255,207,249,236,0.0,0.0,0.0,0
1631795336.296978,73,657,99796,298.72265625,-44.7890625,-60.36328125,-1172.0,-2070.0,29410.0,10.571687698364258,248.61402893066406,-1113.17626953125,-156.33670043945312,-84.83067321777344,0.0,255,202,240,232,0.0,0.0,0.0,0
1631795336.337664,71,760,99799,281.5546875,-82.6875,-42.609375,-1519.0,-1679.0,39944.0,-42.252803802490234,130.54483032226562,-1075.2921142578125,-187.73313903808594,-147.57305908203125,0.0,255,199,238,233,0.0,0.0,0.0,0
1631795336.58088,71,872,99790,230.05078125,-134.3671875,-60.36328125,-1493.0,-2351.0,51646.0,8.527791976928711,154.05722045898438,-1044.0489501953125,-149.54078674316406,-175.8517303466797,0.0,255,202,239,231,0.0,0.0,0.0,0
1631795336.73719,71,997,99785,192.28125,-165.375,-49.7109375,-1173.0,-2408.0,63826.0,14.763165473937988,102.4845962524414,-1048.6912841796875,-122.01742553710938,-191.87347412109375,0.0,253,191,229,229,0.0,0.0,0.0,0
1631795336.747419,71,1042,99788,137.34375,-172.265625,-56.8125,-878.0,-2339.0,67956.0,-2.311979293823242,184.14404296875,-1043.547607421875,-85.76734924316406,-155.70538330078125,0.0,253,193,231,231,0.0,0.0,0.0,0
1631795336.824373,71,1263,99788,61.8046875,-192.9375,-56.8125,-531.0,-1576.0,90361.0,29.577499389648438,130.38792419433594,-1033.4276123046875,-39.03837585449219,-177.91600036621094,0.0,253,196,235,230,0.0,0.0,0.0,0
1631795336.993294,71,1349,99785,10.30078125,-203.2734375,-31.95703125,-356.0,-1120.0,99972.0,-11.048032760620117,92.11414337158203,-1068.900634765625,-11.398862838745117,-173.34829711914062,0.0,253,190,235,237,0.0,0.0,0.0,0
1631795337.098147,71,1509,99788,-41.203125,-158.484375,-35.5078125,1157.0,328.0,117490.0,16.438230514526367,222.09375,-979.8587036132812,-12.835965156555176,-118.52964782714844,0.0,252,155,255,185,0.0,0.0,0.0,0
1631795337.223457,71,1612,99773,-92.70703125,-155.0390625,-24.85546875,1513.0,-484.0,125831.0,53.35662841796875,241.3957977294922,-911.1707153320312,43.53365707397461,-63.45611572265625,0.0,255,142,250,150,0.0,0.0,0.0,0
1631795337.430031,71,1711,99776,-127.04296875,-106.8046875,-39.05859375,506.0,-607.0,130170.0,18.805511474609375,175.5840301513672,-890.754150390625,88.31092834472656,62.661991119384766,0.0,255,130,243,149,0.0,0.0,0.0,0
1631795337.536477,71,1741,99779,-106.44140625,-148.1484375,-39.05859375,-181.0,-456.0,130229.0,15.50568962097168,172.91749572753906,-897.36181640625,80.99656677246094,86.98543548583984,0.0,255,128,241,151,0.0,0.0,0.0,0
1631795337.559735,71,1787,99776,-120.17578125,-120.5859375,-39.05859375,-1259.0,-238.0,128465.0,-4.798759460449219,139.1851043701172,-910.7664184570312,77.14739227294922,152.6373291015625,0.0,255,125,239,156,0.0,0.0,0.0,0
1631795337.824078,71,1860,99779,-72.10546875,-175.7109375,-39.05859375,-3037.0,-201.0,118319.0,10.194814682006836,157.3308563232422,-904.2188110351562,70.74647521972656,146.953125,0.0,244,130,229,163,0.0,0.0,0.0,0
1631795337.824384,71,1861,99773,-68.671875,-186.046875,-42.609375,-3087.0,-195.0,117217.0,-43.450042724609375,44.256229400634766,-890.752197265625,69.8776626586914,162.15052795410156,0.0,248,129,234,165,0.0,0.0,0.0,0
1631795337.921639,71,1880,99779,-41.203125,-186.046875,-49.7109375,-3241.0,-177.0,110627.0,10.076546669006348,163.91812133789062,-920.4586181640625,99.0335464477539,230.49093627929688,0.0,238,147,224,170,0.0,0.0,0.0,0
1631795338.122979,71,1897,99779,0.0,-192.9375,-49.7109375,-4303.0,613.0,100117.0,1.1862516403198242,162.81759643554688,-921.373779296875,94.56694793701172,178.00149536132812,0.0,237,151,228,180,0.0,0.0,0.0,0
1631795338.170287,71,1888,99779,72.10546875,-203.2734375,-60.36328125,-4312.0,505.0,91495.0,1.881448745727539,209.77879333496094,-999.5590209960938,75.22615814208984,112.64979553222656,0.0,242,170,232,194,0.0,0.0,0.0,0
1631795338.41132,71,1882,99776,58.37109375,-217.0546875,-60.36328125,-4081.0,469.0,88696.0,-17.847148895263672,182.64759826660156,-1021.1614379882812,55.02771759033203,76.7975082397461,0.0,253,164,242,190,0.0,0.0,0.0,0
1631795338.436835,71,1822,99782,188.84765625,-196.3828125,-46.16015625,-1915.0,678.0,66377.0,-28.041257858276367,116.28080749511719,-1041.8966064453125,78.92192077636719,-69.3829345703125,0.0,246,166,237,201,0.0,0.0,0.0,0
1631795338.606733,71,1820,99779,188.84765625,-196.3828125,-46.16015625,-1839.0,706.0,65938.0,-19.927509307861328,208.4512176513672,-1034.7760009765625,78.14923858642578,-70.74101257324219,0.0,242,172,235,201,0.0,0.0,0.0,0
1631795338.704325,71,1743,99767,315.890625,-89.578125,-49.7109375,-1180.0,2491.0,38531.0,-21.020776748657227,131.52662658691406,-1059.6197509765625,47.566650390625,-156.91653442382812,0.0,255,163,238,216,0.0,0.0,0.0,0
1631795338.836264,71,1720,99785,326.19140625,-65.4609375,-39.05859375,-596.0,1157.0,29614.0,-49.35313415527344,90.5450210571289,-1050.1595458984375,39.152503967285156,-130.1863250732422,0.0,255,172,228,220,0.0,0.0,0.0,0
1631795338.945181,71,1697,99782,357.09375,-27.5625,-42.609375,-273.0,1124.0,20470.0,-9.71703052520752,239.23939514160156,-1076.61962890625,85.88922119140625,-172.78627014160156,0.0,255,172,233,217,0.0,0.0,0.0,0
1631795339.067073,71,1681,99785,381.12890625,3.4453125,-53.26171875,662.0,1861.0,12850.0,-11.656435012817383,214.20741271972656,-1069.13525390625,90.05149841308594,-186.17779541015625,0.0,255,172,232,219,0.0,0.0,0.0,0
1631795339.169683,71,1653,99779,377.6953125,62.015625,-42.609375,1786.0,2542.0,4962.0,-23.685407638549805,192.91824340820312,-1066.9921875,64.65007781982422,-240.92312622070312,0.0,249,180,227,235,0.0,0.0,0.0,0
1631795339.275502,70,1641,99776,367.39453125,58.5703125,-31.95703125,2574.0,2323.0,2222.0,-5.894260883331299,269.6737976074219,-1073.20849609375,-12.186861991882324,-187.02638244628906,0.0,249,180,232,230,0.0,0.0,0.0,0
1631795339.407131,70,1638,99776,381.12890625,72.3515625,-60.36328125,3174.0,1196.0,1205.0,9.232964515686035,151.96810913085938,-1061.025390625,-19.603910446166992,-161.84222412109375,0.0,249,176,223,232,0.0,0.0,0.0,0
1631795339.670718,70,1624,99788,377.6953125,55.125,-42.609375,3920.0,385.0,1987.0,-25.45997428894043,179.406005859375,-1066.7398681640625,-56.653987884521484,-99.39034271240234,0.0,251,177,232,230,0.0,0.0,0.0,0
1631795339.671859,70,1617,99788,367.39453125,51.6796875,-60.36328125,3696.0,-221.0,3962.0,5.766072750091553,135.56089782714844,-1077.935546875,-74.6944580078125,-53.383995056152344,0.0,255,171,229,230,0.0,0.0,0.0,0
1631795339.852048,70,1603,99785,370.828125,27.5625,-42.609375,2902.0,-863.0,7010.0,-37.15848922729492,67.87067413330078,-1084.9471435546875,-48.67692184448242,-60.3790397644043,0.0,255,173,219,241,0.0,0.0,0.0,0
1631795339.895715,70,1597,99776,367.39453125,10.3359375,-53.26171875,2576.0,-1345.0,11037.0,4.581767559051514,201.2907257080078,-1069.65185546875,-44.16318130493164,10.08512020111084,0.0,255,179,224,234,0.0,0.0,0.0,0
1631795340.091782,70,1587,99779,339.92578125,-10.3359375,-67.46484375,1801.0,-1560.0,16105.0,19.153133392333984,186.9550018310547,-1086.2373046875,0.06306885927915573,45.224937438964844,0.0,253,178,221,235,0.0,0.0,0.0,0
1631795340.19237,70,1585,99770,346.79296875,-24.1171875,-53.26171875,1740.0,-650.0,21092.0,3.44828200340271,196.11341857910156,-1066.9620361328125,6.460682392120361,47.79542922973633,0.0,253,180,226,235,0.0,0.0,0.0,0
1631795340.313382,70,1582,99785,346.79296875,-37.8984375,-39.05859375,1829.0,-452.0,22309.0,35.98402404785156,186.89157104492188,-1088.541259765625,3.4624850749969482,63.5265007019043,0.0,253,180,229,235,0.0,0.0,0.0,0
1631795340.449997,68,1577,99790,329.625,-103.359375,-63.9140625,1937.0,414.0,31608.0,7.934759140014648,120.01640319824219,-1074.7403564453125,53.26255798339844,86.60404205322266,0.0,253,175,223,240,0.0,0.0,0.0,0
